,Unnamed: 0_x,doi,fk_idx,cole_idx,date,Unnamed: 0_y,subject,"doi,subject",period,Discipline
9655,4,s42254-020-0155-y,19.2,19.96,2020-02-12 00:00:00+00:00,12,Experimental particle physics,,Before,Physical sciences
9656,5,s42256-020-0217-y,21.2,34.1,2020-08-17 00:00:00+00:00,13,Computational biology and bioinformatics,,Before,Biological sciences
9657,5,s42256-020-0217-y,21.2,34.1,2020-08-17 00:00:00+00:00,14,Mathematics and computing,,Before,Physical sciences
9660,7,s42254-020-0227-z,21.9,39.26,2020-08-13 00:00:00+00:00,17,Astronomy and astrophysics,,Before,Physical sciences
9667,9,s42256-020-0223-0,19.4,34.27,2020-08-12 00:00:00+00:00,24,Science,,Before,Physical sciences
9671,12,s42255-020-0244-3,22.1,27.5,2020-07-06 00:00:00+00:00,28,Breast cancer,,Before,Biological sciences
9672,12,s42255-020-0244-3,22.1,27.5,2020-07-06 00:00:00+00:00,29,Cancer metabolism,,Before,Biological sciences
9673,12,s42255-020-0244-3,22.1,27.5,2020-07-06 00:00:00+00:00,30,Cancer therapy,,Before,Biological sciences
9677,13,s42255-020-0242-5,19.4,28.25,2020-07-07 00:00:00+00:00,34,Metabolic diseases,,Before,Health sciences
9678,14,s42256-020-0214-1,18.4,26.68,2020-07-31 00:00:00+00:00,35,Science,,Before,Physical sciences
9680,14,s42256-020-0214-1,18.4,26.68,2020-07-31 00:00:00+00:00,37,Social sciences,,Before,Scientific community and society
9693,21,s42255-020-0247-0,17.3,23.84,2020-07-27 00:00:00+00:00,50,Drug discovery,,Before,Biological sciences
9694,21,s42255-020-0247-0,17.3,23.84,2020-07-27 00:00:00+00:00,51,Genetics,,Before,Biological sciences
9697,22,s42254-020-0208-2,19.8,23.91,2020-07-28 00:00:00+00:00,54, photonics and device physics,,Before,Physical sciences
9699,23,s42254-020-0221-5,14.7,17.64,2020-07-29 00:00:00+00:00,56,Particle astrophysics,,Before,Physical sciences
9710,27,s42255-020-0224-7,21.3,36.76,2020-07-06 00:00:00+00:00,67,Cancer metabolism,,Before,Biological sciences
9711,27,s42255-020-0224-7,21.3,36.76,2020-07-06 00:00:00+00:00,68,Cancer therapy,,Before,Biological sciences
